example_id,baseline_correct,treatment_correct,baseline_chars,treatment_chars,baseline_tokens,treatment_tokens,baseline_parsed,treatment_parsed
gsm8k-test-00000-2b2e3f96,0,1,4,4,194,139,26,18
gsm8k-test-00001-de563650,0,0,143,111,288,288,2,2
gsm8k-test-00002-d3c6224d,0,0,82,79,288,288,200000,80000
gsm8k-test-00003-94ff3611,0,0,91,91,288,288,180,180
gsm8k-test-00004-d28df8f7,0,0,5,3,256,183,240,2
gsm8k-test-00005-f76242d8,0,0,8,3,265,194,11.428,8
gsm8k-test-00006-6e9d9c1d,0,1,4,5,261,240,20,260
gsm8k-test-00007-6710fc83,0,0,5,5,195,213,220,180
gsm8k-test-00008-d458d139,0,0,5,11,174,263,350,270
gsm8k-test-00009-9b7b7769,0,1,5,5,262,181,520,460
gsm8k-test-00010-e526372b,1,1,5,5,262,181,366,366
gsm8k-test-00011-cd592c76,1,1,5,5,262,180,694,694
gsm8k-test-00012-44518896,0,0,91,4,288,261,1.5,10
gsm8k-test-00013-0f494281,0,0,107,6,288,217,2,4
gsm8k-test-00014-8aba72e5,0,0,4,4,113,185,55,40
gsm8k-test-00015-149e6bcf,0,0,6,6,167,155,5125,8096
gsm8k-test-00016-3ee80dab,0,0,111,121,288,288,80,80
gsm8k-test-00017-43177c16,0,0,8,87,265,288,35000,30
gsm8k-test-00018-851e6439,0,1,95,3,288,226,3,7
gsm8k-test-00019-154c8df4,0,0,3,3,260,197,4,4
gsm8k-test-00020-701ed181,0,0,7,7,162,197,3,14.67
gsm8k-test-00021-7240d8c1,0,0,4,118,133,288,17,2
gsm8k-test-00022-ef98dac1,0,0,100,107,288,288,8,3
gsm8k-test-00023-fe06ee43,0,1,5,15,256,261,470,8
gsm8k-test-00024-22cafa0b,1,0,48,3,274,260,26,2
gsm8k-test-00025-776216f9,0,1,3,3,260,260,0,2
gsm8k-test-00026-43b2c247,0,0,5,8,225,265,244,243.50
gsm8k-test-00027-4b21e8a3,1,0,103,100,288,288,16,60
gsm8k-test-00028-d2444076,0,1,3,4,196,171,5,25
gsm8k-test-00029-b41cc7b7,0,0,4,4,197,70,23,61
gsm8k-test-00030-d48d6485,0,1,88,5,288,203,24,109
gsm8k-test-00031-2e203ecf,0,0,7,6,132,263,53.33,9.07
gsm8k-test-00032-af4f388d,0,0,98,97,288,288,5,5
gsm8k-test-00033-885eb87f,1,0,102,101,288,288,70,30
gsm8k-test-00034-b4f3ad0e,0,0,4,4,261,136,83,83
gsm8k-test-00035-a27c0049,0,1,104,98,288,288,2,9
gsm8k-test-00036-e861738e,1,0,93,32,288,288,75,1000000000000000000000000000000
gsm8k-test-00037-bfa26e43,0,0,5,3,186,158,6.5,5
gsm8k-test-00038-917565ed,0,0,95,98,288,288,3,5
gsm8k-test-00039-abc4bc90,0,0,122,122,288,288,12,12
gsm8k-test-00040-80049d4d,1,0,90,110,288,288,8,4
gsm8k-test-00041-30384332,0,0,100,11,288,264,1000,1200
gsm8k-test-00042-7207f9cd,1,1,4,4,137,135,26,26
gsm8k-test-00043-179c56c9,0,0,6,5,263,210,1060,500
gsm8k-test-00044-0c68e679,0,0,108,9,288,265,40,-160.00
gsm8k-test-00045-9d0c43c1,0,0,4,4,261,185,44,44
gsm8k-test-00046-4f85613f,1,0,5,103,125,288,163,80
gsm8k-test-00047-d0bb3656,0,0,95,101,288,288,60,50
gsm8k-test-00048-a80947ed,1,0,3,107,100,288,8,3
gsm8k-test-00049-41554f28,1,1,4,4,169,162,30,30
gsm8k-test-00050-23fdf08c,0,0,101,8,288,189,252,289.18
gsm8k-test-00051-971dabc5,0,0,86,94,288,288,4,40
gsm8k-test-00052-ae51d9df,0,0,3,5,255,227,0,7.5
gsm8k-test-00053-817cd014,1,1,123,4,288,181,40,40
gsm8k-test-00054-13e140ab,0,0,3,4,212,241,9,27
gsm8k-test-00055-07836807,1,1,4,4,261,137,14,14
