tag,alpha,source_layer,destination_layer,accuracy,delta,rescued,regressed,n,mcnemar_p,baseline_accuracy,baseline_n
a004_s16_d9,0.04,16,9,0.32,0.07,14,7,100,0.1904,0.25,100
a004_s18_d7,0.04,18,7,0.33,0.08000000000000002,14,6,100,0.1175,0.25,100
a004_s18_d9,0.04,18,9,0.3,0.04999999999999999,10,5,100,0.3017,0.25,100
a004_s20_d9,0.04,20,9,0.36,0.10999999999999999,15,4,100,0.0218,0.25,100
a007_s16_d9,0.07,16,9,0.25,0.0,10,10,100,0.8231,0.25,100
a007_s18_d7,0.07,18,7,0.33,0.08000000000000002,13,5,100,0.099,0.25,100
a007_s18_d9,0.07,18,9,0.34,0.09000000000000002,18,9,100,0.1237,0.25,100
a007_s20_d9,0.07,20,9,0.33,0.08000000000000002,16,8,100,0.153,0.25,100
a010_s16_d7,0.1,16,7,0.33,0.08000000000000002,16,8,100,0.153,0.25,100
a010_s16_d9,0.1,16,9,0.24,-0.010000000000000009,10,11,100,1.0,0.25,100
a010_s18_d7,0.1,18,7,0.38,0.13,18,5,100,0.0123,0.25,100
a010_s18_d9,0.1,18,9,0.33,0.08000000000000002,16,8,100,0.153,0.25,100
a010_s20_d7,0.1,20,7,0.33,0.08000000000000002,14,6,100,0.1175,0.25,100
a010_s20_d9,0.1,20,9,0.3,0.04999999999999999,15,10,100,0.4237,0.25,100
a015_s16_d9,0.15,16,9,0.31,0.06,18,12,100,0.3613,0.25,100
a015_s18_d7,0.15,18,7,0.29,0.03999999999999998,17,13,100,0.5839,0.25,100
a015_s18_d9,0.15,18,9,0.29,0.03999999999999998,15,11,100,0.5563,0.25,100
a015_s20_d9,0.15,20,9,0.35,0.09999999999999998,17,7,100,0.0662,0.25,100
